product_id,product_name,category_id,launch_date,price
P-53,MacBook Pro 13-inch Gen,cat-1,2022-09-28,2806.97
P-54,MacBook Pro 14-inch 2022,cat-1,2015-01-03,2116.94
P-55,MacBook Pro 16-inch 2023,cat-1,2015-01-14,2515.52
P-56,MacBook Pro M2 Max Pro,cat-1,2016-04-04,3890.77
P-57,MacBook Pro M1 Max Max,cat-1,2019-09-08,1814.9
P-58,AirPods 2nd Gen 2022,cat-2,2018-07-25,313.19
P-59,AirPods 3rd Gen Pro,cat-2,2023-12-09,476.08
P-60,AirPods Pro Gen,cat-2,2023-06-03,358.28
P-61,AirPods Max SE,cat-2,2018-06-23,350.78
P-62,HomePod Mini Max,cat-2,2016-11-13,484.6
P-63,iPad 9th Gen 2022,cat-3,2023-05-14,738.42
P-64,iPad 10th Gen SE,cat-3,2015-02-19,1032.3
P-65,iPad Air 5th Gen Pro,cat-3,2022-05-31,1682.21
P-66,iPad Pro 11-inch Gen,cat-3,2014-03-24,725.17
P-67,iPad Pro 12.9-inch Plus,cat-3,2019-06-12,1649.66
P-68,iPhone 13 2023,cat-4,2014-10-06,1177.44
P-69,iPhone 13 Mini 2023,cat-4,2023-11-21,1005.37
P-70,iPhone 13 Pro SE,cat-4,2015-02-11,1478.8
P-71,iPhone 13 Pro Max SE,cat-4,2014-12-29,1147.33
P-72,iPhone 14 2022,cat-4,2021-10-07,1554.5
P-73,iPhone 14 Plus SE,cat-4,2017-10-08,1031.97
P-74,iPhone 14 Pro SE,cat-4,2020-03-03,1020.53
P-75,iPhone 14 Pro Max Plus,cat-4,2023-01-21,1088.88
P-76,Apple Watch Series 6 SE,cat-5,2014-11-23,717.75
P-77,Apple Watch Series 7 Plus,cat-5,2014-12-29,333.71
P-78,Apple Watch SE Ultra,cat-5,2018-04-14,379.58
P-79,Apple Watch Ultra Ultra,cat-5,2024-04-25,266.93
P-80,Apple TV HD 2022,cat-6,2019-08-29,174.09
P-81,Apple TV 4K 1st Gen Ultra,cat-6,2020-09-06,154.01
P-82,Apple TV 4K 2nd Gen Ultra,cat-6,2016-09-08,191.45
P-83,Apple TV 4K 3rd Gen Gen,cat-6,2019-05-27,175.26
P-84,iMac 24-inch M1 Ultra,cat-7,2016-01-24,9256.36
P-85,Mac Studio 2023,cat-7,2017-01-22,9421.42
P-86,Mac mini M1 Pro,cat-7,2017-12-04,9688.5
P-87,Mac Pro Gen,cat-7,2016-06-02,13235.12
P-88,Apple Music 2023,cat-8,2023-06-22,6.99
P-89,Apple TV+ Gen,cat-8,2020-11-29,15.19
P-90,Apple Arcade Plus,cat-8,2019-07-27,8.6
P-91,iCloud+ 2022,cat-8,2020-03-29,13.31
P-92,Apple Fitness+ SE,cat-8,2019-10-11,6.98
P-93,HomePod Pro,cat-9,2022-07-09,152.82
P-94,HomePod Mini Plus,cat-9,2022-05-05,150.42
P-95,Magic Keyboard Pro,cat-10,2023-03-11,57.1
P-96,Magic Mouse Ultra,cat-10,2020-09-14,46.86
P-97,Magic Trackpad Gen,cat-10,2014-07-21,81.15
P-98,AirTag Ultra,cat-10,2021-10-19,101.32
P-99,USB-C Charger 2023,cat-10,2016-03-05,112.25
P-100,MagSafe Charger Plus,cat-10,2016-11-15,71.24
P-101,MacBook Air M1 Pro,cat-1,2022-08-07,2026.71
P-102,MacBook Air M2 Max,cat-1,2017-04-27,1814.96
P-103,MacBook Pro 13-inch Gen,cat-1,2024-03-21,3557.61
P-104,MacBook Pro 14-inch 2022,cat-1,2018-02-17,1818.24
P-105,MacBook Pro 16-inch Plus,cat-1,2018-06-30,1005.86
P-106,MacBook Pro M2 Max Pro,cat-1,2019-02-27,1618.81
P-107,MacBook Pro M1 Max SE,cat-1,2016-03-10,2638.59
P-108,AirPods 2nd Gen 2023,cat-2,2021-02-13,351.71
P-109,AirPods 3rd Gen Gen,cat-2,2016-10-15,234.77
P-110,AirPods Pro 2023,cat-2,2020-01-24,267.17
P-111,AirPods Max Ultra,cat-2,2018-10-11,292.28
P-112,HomePod Mini Max,cat-2,2017-04-17,158.81
P-113,iPad 9th Gen SE,cat-3,2015-02-27,1069.91
P-114,iPad 10th Gen Pro,cat-3,2023-06-13,1424.46
P-115,iPad Air 5th Gen Plus,cat-3,2018-08-22,691.63
P-116,iPad Pro 11-inch Max,cat-3,2017-07-17,1988.96
P-117,iPad Pro 12.9-inch 2023,cat-3,2023-08-17,481.21
P-118,iPhone 13 Pro,cat-4,2014-02-02,734.26
P-119,iPhone 13 Mini Ultra,cat-4,2015-11-05,814.96
P-120,iPhone 13 Pro Plus,cat-4,2017-04-27,1136.93
P-121,iPhone 13 Pro Max Ultra,cat-4,2020-05-06,1202.91
P-122,iPhone 14 2022,cat-4,2015-09-18,1047.85
P-123,iPhone 14 Plus SE,cat-4,2022-03-08,754.65
P-124,iPhone 14 Pro Pro,cat-4,2020-02-09,1054.14
P-125,iPhone 14 Pro Max Pro,cat-4,2018-11-05,1106.97
P-126,Apple Watch Series 6 Plus,cat-5,2024-02-14,543.02
P-127,Apple Watch Series 7 Plus,cat-5,2014-02-04,629.39
P-128,Apple Watch SE 2022,cat-5,2019-04-06,274.85
P-129,Apple Watch Ultra Pro,cat-5,2016-07-16,450.58
P-130,Apple TV HD Max,cat-6,2015-07-20,166.22
P-131,Apple TV 4K 1st Gen Ultra,cat-6,2015-03-05,185.3
P-132,Apple TV 4K 2nd Gen SE,cat-6,2022-09-17,192.01
P-133,Apple TV 4K 3rd Gen Ultra,cat-6,2020-03-15,186.91
P-134,iMac 24-inch M1 Gen,cat-7,2022-04-12,13186.21
P-135,Mac Studio 2022,cat-7,2017-04-02,7570.74
P-136,Mac mini M1 SE,cat-7,2021-09-23,12197.34
P-137,Mac Pro 2022,cat-7,2015-01-21,9851.25
P-138,Apple Music Plus,cat-8,2024-01-30,19.14
P-139,Apple TV+ 2022,cat-8,2019-06-26,11.49
P-140,Apple Arcade SE,cat-8,2017-04-06,19.8
P-141,iCloud+ SE,cat-8,2017-03-13,12.91
P-142,Apple Fitness+ Plus,cat-8,2022-11-13,8.17
P-143,HomePod Max,cat-9,2015-07-23,125.73
P-144,HomePod Mini Gen,cat-9,2016-08-15,164.27
P-145,Magic Keyboard Gen,cat-10,2015-11-30,147.74
P-146,Magic Mouse Plus,cat-10,2022-09-24,98.42
P-147,Magic Trackpad SE,cat-10,2022-09-08,27.64
P-148,AirTag Ultra,cat-10,2016-10-04,49.53
P-149,USB-C Charger Max,cat-10,2017-03-15,100.79
P-150,MagSafe Charger SE,cat-10,2020-11-22,28.81
P-151,MacBook Air M1 SE,cat-1,2020-05-01,2299.52
P-152,MacBook Air M2 Max,cat-1,2022-07-18,2228.92
P-153,MacBook Pro 13-inch Gen,cat-1,2017-02-10,2783.46
P-154,MacBook Pro 14-inch Ultra,cat-1,2014-11-20,3045.39
P-155,MacBook Pro 16-inch Max,cat-1,2023-12-20,3718.63
P-156,MacBook Pro M2 Max SE,cat-1,2020-12-08,3799.46
P-157,MacBook Pro M1 Max 2023,cat-1,2015-03-27,1892.54
P-158,AirPods 2nd Gen Max,cat-2,2020-11-23,339.87
P-159,AirPods 3rd Gen Gen,cat-2,2017-09-16,580.95
P-160,AirPods Pro Gen,cat-2,2018-11-23,289.44
P-161,AirPods Max 2023,cat-2,2015-03-07,250.12
P-162,HomePod Mini Max,cat-2,2018-06-24,519.73
P-163,iPad 9th Gen Pro,cat-3,2017-09-28,1887.92
P-164,iPad 10th Gen 2022,cat-3,2023-01-15,1734.2
